Code;Espèces;Libellé long;étiquette affichée
0;oiseau;Autre;Autre/aucune poursuite
1;oiseau;Avion;Avion
2;oiseau;Véhicule automobile;Véhicule automobile
3;oiseau;bateaux propulsés à une vitesse supérieure à 5 kilomètres par heure.;Bateaux propulsés à une vitesse supérieure à 5 km/h
4;oiseau;En haute mer, les États membres peuvent, pour des raisons de sécurité, autoriser l’usage de bateaux à moteur ayant une vitesse maximale de 18 kilomètres par heure. ;Bateaux propulsés à une vitesse supérieure 18 km/h en haute mer
0;faune non-oiseau;Autre;Autre/aucune poursuite
1;faune non-oiseau;Aéronefs;Aéronefs
2;faune non-oiseau;Véhicules à moteur en mouvement;Véhicules à moteur en mouvement
;;;
;;Changer Transport par « méthode de poursuite utilisée pour la chasse ou la capture » et ajouter « Autre/aucune »;
;;Conditonner la méthode de poursuite à l’activité;
